"date","waterYear","depth_mm"
2003-11-01,2004,0
2003-11-02,2004,0
2003-11-03,2004,0
2003-11-04,2004,0
2003-11-05,2004,0
2003-11-06,2004,0
2003-11-07,2004,0
2003-11-08,2004,0
2003-11-09,2004,0
2003-11-10,2004,0
2003-11-11,2004,0
2003-11-12,2004,0
2003-11-13,2004,0
2003-11-14,2004,0
2003-11-15,2004,0
2003-11-16,2004,0
2003-11-17,2004,0
2003-11-18,2004,0
2003-11-19,2004,0
2003-11-20,2004,0
2003-11-21,2004,0
2003-11-22,2004,0
2003-11-23,2004,0
2003-11-24,2004,0
2003-11-25,2004,0
2003-11-26,2004,0
2003-11-27,2004,0
2003-11-28,2004,0
2003-11-29,2004,0
2003-11-30,2004,0
2003-12-01,2004,0
2003-12-02,2004,0
2003-12-03,2004,0
2003-12-04,2004,0
2003-12-05,2004,0
2003-12-06,2004,0
2003-12-07,2004,0
2003-12-08,2004,0
2003-12-09,2004,0
2003-12-10,2004,0
2003-12-11,2004,0
2003-12-12,2004,2.0854
2003-12-13,2004,1.7605
2003-12-14,2004,0.3937
2003-12-15,2004,0
2003-12-16,2004,0
2003-12-17,2004,0
2003-12-18,2004,0
2003-12-19,2004,0
2003-12-20,2004,0
2003-12-21,2004,0
2003-12-22,2004,0
2003-12-23,2004,0
2003-12-24,2004,0
2003-12-25,2004,0
2003-12-26,2004,0
2003-12-27,2004,0.1806
2003-12-28,2004,0.0074
2003-12-29,2004,0
2003-12-30,2004,0
2003-12-31,2004,0
2004-01-01,2004,0
2004-01-02,2004,0
2004-01-03,2004,0.7329
2004-01-04,2004,0.2514
2004-01-05,2004,0.0296
2004-01-06,2004,0
2004-01-07,2004,0
2004-01-08,2004,0
2004-01-09,2004,0
2004-01-10,2004,0
2004-01-11,2004,0
2004-01-12,2004,0
2004-01-13,2004,0
2004-01-14,2004,0
2004-01-15,2004,0
2004-01-16,2004,9.0753
2004-01-17,2004,5.5849
2004-01-18,2004,1.7529
2004-01-19,2004,0.2418
2004-01-20,2004,0.0507
2004-01-21,2004,3.8919
2004-01-22,2004,0.3494
2004-01-23,2004,0.1849
2004-01-24,2004,6e-04
2004-01-25,2004,0
2004-01-26,2004,6.0219
2004-01-27,2004,0.6046
2004-01-28,2004,0.1452
2004-01-29,2004,0
2004-01-30,2004,0
2004-01-31,2004,0
2004-02-01,2004,1.1255
2004-02-02,2004,0.0955
2004-02-03,2004,0
2004-02-04,2004,18.2067
2004-02-05,2004,9.1697
2004-02-06,2004,3.5466
2004-02-07,2004,1.1695
2004-02-08,2004,0.0437
2004-02-09,2004,0
2004-02-10,2004,0
2004-02-11,2004,0
2004-02-12,2004,0
2004-02-13,2004,0
2004-02-14,2004,0
2004-02-15,2004,0
2004-02-16,2004,0
2004-02-17,2004,0
2004-02-18,2004,0
2004-02-19,2004,0
2004-02-20,2004,0
2004-02-21,2004,0
2004-02-22,2004,0
2004-02-23,2004,0
2004-02-24,2004,0.2322
2004-02-26,2004,0.1709
2004-02-27,2004,0
2004-02-28,2004,2.4042
2004-02-29,2004,3.8759
2004-03-01,2004,0.481
2004-03-02,2004,6e-04
2004-03-03,2004,0.0031
2004-03-04,2004,0
2004-03-05,2004,0
2004-03-06,2004,0
2004-03-07,2004,0
2004-03-08,2004,0
2004-03-09,2004,0
2004-03-10,2004,0
2004-03-11,2004,0
2004-03-12,2004,0
2004-03-13,2004,0
2004-03-14,2004,0
2004-03-15,2004,0
2004-03-16,2004,0
2004-03-17,2004,0
2004-03-18,2004,0
2004-03-19,2004,0
2004-03-20,2004,0
2004-03-21,2004,0
2004-03-22,2004,0
2004-03-23,2004,0
2004-03-24,2004,0
2004-03-25,2004,0
2004-03-26,2004,0
2004-03-27,2004,0
2004-03-28,2004,0
2004-03-29,2004,0
2004-03-30,2004,0
2004-03-31,2004,0
2004-04-01,2004,0
2004-04-02,2004,0
2004-04-03,2004,0
2004-04-04,2004,0
2004-04-05,2004,0
2004-04-06,2004,0.6592
2004-04-07,2004,0
2004-04-08,2004,0
2004-04-09,2004,0
2004-04-10,2004,0
2004-04-11,2004,0
2004-04-12,2004,0
2004-04-13,2004,0
2004-04-14,2004,0
2004-04-15,2004,0
2004-04-16,2004,0
2004-04-17,2004,0
2004-04-18,2004,0
2004-04-19,2004,0
2004-04-20,2004,0
2004-04-21,2004,0
2004-04-22,2004,0
2004-04-23,2004,0
2004-04-24,2004,0
2004-04-25,2004,0
2004-04-26,2004,0
2004-04-27,2004,0
2004-04-28,2004,0
2004-04-29,2004,0
2004-04-30,2004,0
2004-11-01,2005,0
2004-11-02,2005,0
2004-11-03,2005,0
2004-11-04,2005,0
2004-11-05,2005,0
2004-11-06,2005,0
2004-11-07,2005,0
2004-11-08,2005,0
2004-11-09,2005,0
2004-11-10,2005,0
2004-11-11,2005,0
2004-11-12,2005,0
2004-11-13,2005,0
2004-11-14,2005,2.6253
2004-11-15,2005,0
2004-11-16,2005,0
2004-11-17,2005,0
2004-11-18,2005,0
2004-11-19,2005,0
2004-11-20,2005,0
2004-11-21,2005,0
2004-11-22,2005,1.1518
2004-11-23,2005,0.2466
2004-11-24,2005,0
2004-11-25,2005,0
2004-11-26,2005,0
2004-11-27,2005,0
2004-11-28,2005,0
2004-11-29,2005,22.6703
2004-11-30,2005,16.2545
2004-12-01,2005,9.2912
2004-12-02,2005,4.0993
2004-12-03,2005,2.8072
2004-12-04,2005,2.2555
2004-12-05,2005,23.5713
2004-12-06,2005,30.8527
2004-12-07,2005,29.0135
2004-12-08,2005,28.3822
2004-12-09,2005,22.7295
2004-12-10,2005,11.7837
2004-12-11,2005,3.3099
2004-12-12,2005,1.1153
2004-12-13,2005,0.0529
2004-12-14,2005,0.0053
2004-12-15,2005,5e-04
2004-12-16,2005,4e-04
2004-12-17,2005,2e-04
2004-12-18,2005,0
2004-12-19,2005,0
2004-12-20,2005,0
2004-12-21,2005,0
2004-12-22,2005,0
2004-12-23,2005,0
2004-12-24,2005,0
2004-12-25,2005,0
2004-12-26,2005,0
2004-12-27,2005,0
2004-12-28,2005,0
2004-12-29,2005,0
2004-12-30,2005,0
2004-12-31,2005,0
2005-01-01,2005,0
2005-01-02,2005,0
2005-01-03,2005,0
2005-01-04,2005,0
2005-01-05,2005,0
2005-01-06,2005,0
2005-01-07,2005,0.278
2005-01-08,2005,7.1537
2005-01-09,2005,0
2005-01-10,2005,0
2005-01-11,2005,0
2005-01-12,2005,4.7731
2005-01-13,2005,1.503
2005-01-14,2005,0.1525
2005-01-15,2005,0
2005-01-16,2005,0
2005-01-17,2005,0
2005-01-18,2005,0
2005-01-19,2005,0
2005-01-20,2005,0
2005-01-21,2005,0
2005-01-22,2005,0
2005-01-23,2005,0
2005-01-24,2005,0
2005-01-25,2005,0
2005-01-26,2005,0
2005-01-27,2005,0
2005-01-28,2005,0
2005-01-29,2005,0
2005-01-30,2005,0
2005-01-31,2005,0.0048
2005-02-01,2005,0.1481
2005-02-02,2005,0.3009
2005-02-03,2005,0.0014
